,ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,CustomerHash
0,10107,30,95.7,2,2871.0,2003-02-24,Shipped,1,2,2003,Motorcycles,95,S10_1678,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,e3d43de75cc6
1,10121,34,81.35,5,2765.8999999999996,2003-05-07,Shipped,2,5,2003,Motorcycles,95,S10_1678,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small,4671284bce78
2,10134,41,94.74,2,3884.3399999999997,2003-07-01,Shipped,3,7,2003,Motorcycles,95,S10_1678,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium,6d18514c77d8
3,10145,45,83.26,6,3746.7000000000003,2003-08-25,Shipped,3,8,2003,Motorcycles,95,S10_1678,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,,Young,Julie,Medium,e64fa8fbe476
4,10159,49,100.0,14,4900.0,2003-10-10,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505551386,7734 Strong St.,,San Francisco,CA,,USA,,Brown,Julie,Medium,70b9841f5801
5,10168,36,96.66,1,3479.7599999999998,2003-10-28,Shipped,4,10,2003,Motorcycles,95,S10_1678,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Medium,0d70dc7f0339
6,10180,29,86.13,9,2497.77,2003-11-11,Shipped,4,11,2003,Motorcycles,95,S10_1678,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small,8626adf11f4e
7,10188,48,100.0,1,4800.0,2003-11-18,Shipped,4,11,2003,Motorcycles,95,S10_1678,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,c726fb8f224e
8,10201,22,98.57,2,2168.54,2003-12-01,Shipped,4,12,2003,Motorcycles,95,S10_1678,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,,Murphy,Julie,Small,22893cb50b27
9,10211,41,100.0,14,4100.0,2004-01-15,Shipped,1,1,2004,Motorcycles,95,S10_1678,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium,54e36df592c5
10,10223,37,100.0,1,3700.0,2004-02-20,Shipped,1,2,2004,Motorcycles,95,S10_1678,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,28c8fbc86931
11,10237,23,100.0,7,2300.0,2004-04-05,Shipped,2,4,2004,Motorcycles,95,S10_1678,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,,Frick,Michael,Small,3bcaa70b06b7
12,10251,28,100.0,2,2800.0,2004-05-18,Shipped,2,5,2004,Motorcycles,95,S10_1678,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,,Brown,William,Medium,0db94cefea19
13,10263,34,100.0,2,3400.0,2004-06-28,Shipped,2,6,2004,Motorcycles,95,S10_1678,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,,King,Julie,Medium,95721217953b
14,10275,45,92.83,1,4177.35,2004-07-23,Shipped,3,7,2004,Motorcycles,95,S10_1678,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium,320b47bf09e6
15,10285,36,100.0,6,3600.0,2004-08-27,Shipped,3,8,2004,Motorcycles,95,S10_1678,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,,Hernandez,Marta,Medium,72034aaa222b
16,10299,23,100.0,9,2300.0,2004-09-30,Shipped,3,9,2004,Motorcycles,95,S10_1678,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small,959e6812d3b0
17,10309,41,100.0,5,4100.0,2004-10-15,Shipped,4,10,2004,Motorcycles,95,S10_1678,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,66441f4d88cb
18,10318,46,94.74,1,4358.04,2004-11-02,Shipped,4,11,2004,Motorcycles,95,S10_1678,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,,Yu,Kyung,Medium,212f84b84848
19,10329,42,100.0,1,4200.0,2004-11-15,Shipped,4,11,2004,Motorcycles,95,S10_1678,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Medium,e3d43de75cc6
20,10341,41,100.0,9,4100.0,2004-11-24,Shipped,4,11,2004,Motorcycles,95,S10_1678,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large,f2b0b9a792ab
21,10361,20,72.55,13,1451.0,2004-12-17,Shipped,4,12,2004,Motorcycles,95,S10_1678,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small,e537ccda51bc
22,10375,21,34.91,12,733.1099999999999,2005-02-03,Shipped,1,2,2005,Motorcycles,95,S10_1678,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small,320b47bf09e6
23,10388,42,76.36,4,3207.12,2005-03-03,Shipped,1,3,2005,Motorcycles,95,S10_1678,5085552555,1785 First Street,,New Bedford,MA,50553,USA,,Benitez,Violeta,Medium,3a34ce371180
24,10403,24,100.0,7,2400.0,2005-04-08,Shipped,2,4,2005,Motorcycles,95,S10_1678,(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small,fdd03fb3d341
25,10417,66,100.0,2,6600.0,2005-05-13,Disputed,2,5,2005,Motorcycles,95,S10_1678,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large,eaac345d6fb5
26,10103,26,100.0,11,2600.0,2003-01-29,Shipped,1,1,2003,Classic Cars,214,S10_1949,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium,66441f4d88cb
27,10112,29,100.0,1,2900.0,2003-03-24,Shipped,1,3,2003,Classic Cars,214,S10_1949,0921-12 3555,BerguvsvÑgen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large,f3f5f85cd84c
28,10126,38,100.0,11,3800.0,2003-05-28,Shipped,2,5,2003,Classic Cars,214,S10_1949,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart°n,Large,902e2ff570a8
29,10140,37,100.0,11,3700.0,2003-07-24,Shipped,3,7,2003,Classic Cars,214,S10_1949,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,,Hirano,Juri,Large,0d70dc7f0339
30,10150,45,100.0,8,4500.0,2003-09-19,Shipped,3,9,2003,Classic Cars,214,S10_1949,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large,11447ffb08a2
31,10163,21,100.0,1,2100.0,2003-10-20,Shipped,4,10,2003,Classic Cars,214,S10_1949,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,,Hernandez,Maria,Medium,a13cb167310a
32,10174,34,100.0,4,3400.0,2003-11-06,Shipped,4,11,2003,Classic Cars,214,S10_1949,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large,c64ac43af796
33,10183,23,100.0,8,2300.0,2003-11-13,Shipped,4,11,2003,Classic Cars,214,S10_1949,2155554695,782 First Street,,Philadelphia,PA,71270,USA,,Cervantes,Francisca,Medium,4cfc0088ffc5
34,10194,42,100.0,11,4200.0,2003-11-25,Shipped,4,11,2003,Classic Cars,214,S10_1949,78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large,daa0e47b1cdd
35,10206,47,100.0,6,4700.0,2003-12-05,Shipped,4,12,2003,Classic Cars,214,S10_1949,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,,Tannamuri,Yoshi,Large,78fca4f43ab3
